pt_airport,iata_apt,lat,lng
Adampur,AIP,31.43305556,75.76055556
Agartala,IXA,23.89,91.24222222
Ahmedabad,AMD,23.07722222,72.63472222
Amritsar,ATQ,31.70777778,74.79916667
Bagdogra,IXB,26.68111111,88.32861111
Bangalore,BLR,13.20694444,77.70416667
Belgaum,IXG,15.85916667,74.6175
Chandigarh,IXC,30.67472222,76.79055556
Chennai,MAA,12.98222222,80.16361111
Coimbatore,CJB,11.02666667,77.04166667
Dehradun,DED,30.18972222,78.18027778
Delhi,DEL,28.56861111,77.11222222
Dharamshala,DHM,32.218,76.32
Dibrugarh,DIB,27.48385278,95.016944
Goa,GOI,15.38083333,73.83138889
Gorakhpur,GOP,26.73970032,83.4496994
Guwahati,GAU,26.10611111,91.58583333
Hyderabad,HYD,17.24,78.43
Jabalpur,JLR,23.18472222,80.05875
Jaipur,JAI,26.82416667,75.81222222
Jaisalmer,JSA,26.88027778,70.855
Kandla,IXY,23.11269951,70.10030365
Kanpur,KNU,26.44140053,80.36489868
Kochi,COK,10.155,76.391
Kolkata,CCU,22.65472222,88.44666667
Kozhikode,CCJ,11.14,75.95
Leh,IXL,34.13583333,77.54638889
Madurai,IXM,9.83361111,78.08944444
Mangalore,IXE,12.96138889,74.89
Mumbai,BOM,19.08861111,72.86805556
Patna,PAT,25.59361111,85.09194444
Pondicherry,PNY,11.96666667,79.81444444
Porbander,PBD,21.64870071,69.65720367
Port Blair,IXZ,11.64111111,92.72972222
Pune,PNQ,18.58222222,73.91972222
Rajahmundry,RJA,17.11027778,81.81833333
Silchar,IXS,24.91290092,92.97869873
Srinagar,SXR,33.98713889,74.77425
Surat,STV,21.11765833,72.74525833
Tirupati,TIR,13.63777778,79.54722222
Trivandrum,TRV,8.48,76.92
Tuticorin,TCR,8.72416667,78.02583333
Udaipur,UDR,24.61777778,73.89611111
Varanasi,VNS,25.45222222,82.85944444
Vijayawada,VGA,16.52888889,80.79583333
Vizag,VTZ,17.72111111,83.22444444
Mundra,nan_Mundra,22.83416667,69.76444444
Bhubaneshwar,BBI,20.24440002,85.81780243
Imphal,IMF,24.76,93.89666667
Indore,IDR,22.72179985,75.80110168
Nagpur,NAG,21.09222222,79.04722222
Ranchi,IXR,23.31416667,85.32166667
Agra,AGR,27.1575,77.96083333
Aizawal,AJL,23.84059906,92.61969757
Aurangabad,IXU,19.86277778,75.39805556
Bhopal,BHO,23.2875,77.3375
Dimapur,DMU,25.88388889,93.77111111
Gaya,GAY,24.74444444,84.95111111
Hubli,HBX,15.36166667,75.08472222
Jammu,IXJ,32.68916667,74.8375
Jamnagar,JGA,22.46549988,70.01260376
Jodhpur,JDH,26.25111111,73.04888889
Khajuraho,HJR,24.81719971,79.91860199
Lucknow,LKO,26.76194444,80.88333333
Nanded,NDC,19.18194444,77.31861111
Raipur,RPR,21.18111111,81.73847222
Rajkot,RAJ,22.30920029,70.77950287
Vadodara,BDQ,22.32944444,73.21944444
Agatti,AGX,10.82805556,72.17888889
Allahabad,IXD,25.44,81.73388889
Bathinda,BUP,30.27,74.755556
Bhavnagar,BHU,21.75222222,72.18527778
Bhuj,BHJ,23.28777778,69.67027778
Bikaner,BKB,28.07055556,73.20694444
Diu,DIU,20.713,70.925
Gwalior,GWL,26.29333333,78.22777778
Kullu,KUU,31.87666667,77.15444444
Lilabari,IXI,27.29555556,94.09777778
Ludhiana,LUH,30.85472222,75.9525
Pathankot,IXP,32.23361111,75.63444444
Shillong,SHL,25.70361111,91.97861111
Shimla,SLV,31.08166667,77.06805556
Shirdi,SAG,19.68861111,74.37888889
Tezpur,TEZ,26.71222222,92.78722222
Trichy,TRZ,10.76527778,78.70972222
Jorhat,JRH,26.73150063,94.17549896
Thoise,nan_Thoise,35.083333,77.633333
Cuddapah,CDP,14.51,78.77277778
Mysore,MYQ,12.23,76.65583333
Salem,SXV,11.78194444,78.06444444
Vidyanagar,VDY,15.175,76.6341
Pantnagar,PGH,29.032222,79.474167
