state_id,Name,Name_T,Area,agri_ratio,gsdp,agri_gsdp,nonagri_gsdp,gsdp_sqkm,gsdp_mill,gsdp_sqkm_mill
35,Andaman & Nicobar Island,Union Territory,8252.308737,0.136579296,51331895710,7010874178,44321021532,6220307.231,51331.89571,6.220307231
28,Andhra Pradesh,State,161289.5815,0.24840792,4.90E+12,1.22E+12,3.68E+12,30380139.59,4900000,30.38013959
12,Arunanchal Pradesh,State,90090.2398,0.306068484,1.67E+11,51113436828,1.16E+11,1853696.92,167000,1.85369692
18,Assam,State,84879.61047,0.190413055,1.79E+12,3.41E+11,1.45E+12,21088692.44,1790000,21.08869244
10,Bihar,State,96745.36345,0.202734492,3.01E+12,6.10E+11,2.40E+12,31112602.12,3010000,31.11260212
4,Chandigarh,Union Territory,118.3035898,0.005095991,2.45E+11,1248517795,2.44E+11,2070943075,245000,2070.943075
22,Chhattisgarh,State,136936.1916,0.145382616,2.09E+12,3.04E+11,1.79E+12,15262583.07,2090000,15.26258307
26,Dadara & Nagar Havelli,Union Territory,493.5154552,,,,,,,
25,Daman & Diu,Union Territory,109.3622659,,,,,,,
30,Goa,State,3627.402101,0.050169122,4.47E+11,22425597534,4.25E+11,123228687.5,447000,123.2286875
24,Gujarat,State,186301.7121,0.12683464,8.95E+12,1.14E+12,7.81E+12,48040352.93,8950000,48.04035293
6,Haryana,State,44107.77393,0.164215661,4.00E+12,6.57E+11,3.34E+12,90686961.59,4000000,90.68696159
2,Himachal Pradesh,State,55725.92161,0.141741644,9.72E+11,1.38E+11,8.34E+11,17442510.99,972000,17.44251099
1,Jammu & Kashmir,State,222363.3775,0.148770395,9.73E+11,1.45E+11,8.28E+11,4375720.548,973000,4.375720548
20,Jharkhand,State,82172.03781,0.113891319,1.98E+12,2.26E+11,1.75E+12,24095787.97,1980000,24.09578797
29,Karnataka,State,191707.41,0.087447717,8.13E+12,7.11E+11,7.42E+12,42408376.39,8130000,42.40837639
32,Kerala,State,38808.80174,0.097552737,4.48E+12,4.37E+11,4.04E+12,115437730.6,4480000,115.4377306
31,Lakshadweep,Union Territory,663.6222355,,,,,,,
23,Madhya Pradesh,State,309060.719,0.292421347,4.08E+12,1.19E+12,2.89E+12,13201289.42,4080000,13.20128942
27,Maharashtra,State,307879.7433,0.084274898,1.66E+13,1.40E+12,1.52E+13,53917155.52,16600000,53.91715552
14,Manipur,State,24411.99543,0.17084228,1.59E+11,27163922520,1.32E+11,6513191.454,159000,6.513191454
17,Meghalaya,State,23976.47194,0.159679741,2.18E+11,34810183538,1.83E+11,9092246.789,218000,9.092246789
15,Mizoram,State,22907.97054,0.273308323,1.25E+11,34163540375,90836459625,5456616.062,125000,5.456616062
13,Nagaland,State,18228.93281,0.282346647,1.49E+11,42069650403,1.07E+11,8173819.145,149000,8.173819145
7,NCT of Delhi,Union Territory,1504.359974,0.00349713,4.74E+12,16576396200,4.72E+12,3150841608,4740000,3150.841608
34,Puducherry,Union Territory,504.1548337,0.045253334,2.00E+11,9050666800,1.91E+11,396703525.6,200000,396.7035256
3,Punjab,State,50393.35834,0.242241575,3.29E+12,7.97E+11,2.49E+12,65286381.15,3290000,65.28638115
8,Rajasthan,State,342592.8684,0.244607916,5.58E+12,1.36E+12,4.22E+12,16287554.46,5580000,16.28755446
11,Sikkim,State,7448.746665,0.069511777,1.41E+11,9801160557,1.31E+11,18929359.04,141000,18.92935904
33,Tamil Nadu,State,130237.8327,0.106573042,9.49E+12,1.01E+12,8.48E+12,72866691.68,9490000,72.86669168
36,Telangana,State,115158.9915,0.115379995,4.52E+12,5.22E+11,4.00E+12,39250083.22,4520000,39.25008322
16,Tripura,State,11216.60415,0.237543808,2.78E+11,66037178624,2.12E+11,24784684.94,278000,24.78468494
9,Uttar Pradesh,State,242646.0191,0.216042699,9.02E+12,1.95E+12,7.07E+12,37173492.62,9020000,37.17349262
5,Uttarakhand,State,53877.30031,0.08642896,1.52E+12,1.31E+11,1.39E+12,28212252.49,1520000,28.21225249
19,West Bengal,State,89034.00781,0.186036381,7.62E+12,1.42E+12,6.20E+12,85585274.52,7620000,85.58527452
21,Odisha,State,159599.6415,0.139146239,2.93E+12,4.08E+11,2.52E+12,18358437.23,2930000,18.35843723
