air1_iata,air1_lat,air1_lng,air2_iata,air2_lat,air2_lng,route,twc
AIP,31.43305556,75.76055556,DEL,28.56861111,77.11222222,RCS,812
IXA,23.89,91.24222222,CCU,22.65472222,88.44666667,nan,29442
IXA,23.89,91.24222222,GAU,26.10611111,91.58583333,nan,4718
AMD,23.07722222,72.63472222,BOM,19.08861111,72.86805556,nan,49475
AMD,23.07722222,72.63472222,MAA,12.98222222,80.16361111,nan,18879
AMD,23.07722222,72.63472222,GOI,15.38083333,73.83138889,nan,14063
AMD,23.07722222,72.63472222,BLR,13.20694444,77.70416667,nan,29404
AMD,23.07722222,72.63472222,DEL,28.56861111,77.11222222,nan,56029
AMD,23.07722222,72.63472222,VNS,25.45222222,82.85944444,nan,2064
AMD,23.07722222,72.63472222,HYD,17.24,78.43,nan,13965
AMD,23.07722222,72.63472222,JAI,26.82416667,75.81222222,nan,7674
AMD,23.07722222,72.63472222,PNQ,18.58222222,73.91972222,nan,12522
ATQ,31.70777778,74.79916667,BOM,19.08861111,72.86805556,nan,10784
ATQ,31.70777778,74.79916667,DEL,28.56861111,77.11222222,nan,23818
IXB,26.68111111,88.32861111,CCU,22.65472222,88.44666667,nan,15758
IXB,26.68111111,88.32861111,BOM,19.08861111,72.86805556,nan,4816
IXB,26.68111111,88.32861111,BLR,13.20694444,77.70416667,nan,2064
IXB,26.68111111,88.32861111,DEL,28.56861111,77.11222222,nan,19634
BLR,13.20694444,77.70416667,AMD,23.07722222,72.63472222,nan,29404
BLR,13.20694444,77.70416667,BLR,13.20694444,77.70416667,nan,688
BLR,13.20694444,77.70416667,BOM,19.08861111,72.86805556,nan,81593
BLR,13.20694444,77.70416667,DEL,28.56861111,77.11222222,nan,96090
BLR,13.20694444,77.70416667,VGA,16.52888889,80.79583333,nan,8164
BLR,13.20694444,77.70416667,CCU,22.65472222,88.44666667,nan,45856
BLR,13.20694444,77.70416667,IXM,9.83361111,78.08944444,nan,6464
BLR,13.20694444,77.70416667,MAA,12.98222222,80.16361111,nan,33685
BLR,13.20694444,77.70416667,PNQ,18.58222222,73.91972222,nan,37470
BLR,13.20694444,77.70416667,HYD,17.24,78.43,nan,53559
BLR,13.20694444,77.70416667,IXE,12.96138889,74.89,nan,20056
BLR,13.20694444,77.70416667,PNY,11.96666667,79.81444444,nan,812
BLR,13.20694444,77.70416667,CCJ,11.14,75.95,nan,5316
BLR,13.20694444,77.70416667,IXG,15.85916667,74.6175,nan,1624
BLR,13.20694444,77.70416667,CJB,11.02666667,77.04166667,nan,12484
BLR,13.20694444,77.70416667,IXB,26.68111111,88.32861111,nan,2064
BLR,13.20694444,77.70416667,COK,10.155,76.391,nan,37199
BLR,13.20694444,77.70416667,TRV,8.48,76.92,nan,18499
BLR,13.20694444,77.70416667,PAT,25.59361111,85.09194444,nan,11402
BLR,13.20694444,77.70416667,TIR,13.63777778,79.54722222,nan,2656
BLR,13.20694444,77.70416667,RJA,17.11027778,81.81833333,nan,2282
IXG,15.85916667,74.6175,MAA,12.98222222,80.16361111,nan,812
IXG,15.85916667,74.6175,BLR,13.20694444,77.70416667,nan,1624
IXG,15.85916667,74.6175,HYD,17.24,78.43,nan,812
IXG,15.85916667,74.6175,BOM,19.08861111,72.86805556,nan,812
IXC,30.67472222,76.79055556,DEL,28.56861111,77.11222222,nan,14076
IXC,30.67472222,76.79055556,SXR,33.98713889,74.77425,nan,4044
MAA,12.98222222,80.16361111,AMD,23.07722222,72.63472222,nan,18879
MAA,12.98222222,80.16361111,BOM,19.08861111,72.86805556,nan,48776
MAA,12.98222222,80.16361111,PNQ,18.58222222,73.91972222,nan,23088
MAA,12.98222222,80.16361111,GOI,15.38083333,73.83138889,nan,3934
MAA,12.98222222,80.16361111,BLR,13.20694444,77.70416667,nan,32299
MAA,12.98222222,80.16361111,IXM,9.83361111,78.08944444,nan,19366
MAA,12.98222222,80.16361111,HYD,17.24,78.43,nan,27818
MAA,12.98222222,80.16361111,DEL,28.56861111,77.11222222,nan,58884
MAA,12.98222222,80.16361111,CCJ,11.14,75.95,nan,2978
MAA,12.98222222,80.16361111,IXG,15.85916667,74.6175,nan,812
MAA,12.98222222,80.16361111,COK,10.155,76.391,nan,27575
MAA,12.98222222,80.16361111,TRV,8.48,76.92,nan,7742
MAA,12.98222222,80.16361111,VGA,16.52888889,80.79583333,nan,5054
MAA,12.98222222,80.16361111,CJB,11.02666667,77.04166667,nan,26888
MAA,12.98222222,80.16361111,TCR,8.72416667,78.02583333,nan,1624
MAA,12.98222222,80.16361111,CCU,22.65472222,88.44666667,nan,34120
MAA,12.98222222,80.16361111,VTZ,17.72111111,83.22444444,nan,6244
MAA,12.98222222,80.16361111,RJA,17.11027778,81.81833333,nan,2282
MAA,12.98222222,80.16361111,IXZ,11.64111111,92.72972222,nan,18864
MAA,12.98222222,80.16361111,PAT,25.59361111,85.09194444,nan,1499
MAA,12.98222222,80.16361111,GAU,26.10611111,91.58583333,nan,6519
MAA,12.98222222,80.16361111,IXE,12.96138889,74.89,nan,3752
CJB,11.02666667,77.04166667,MAA,12.98222222,80.16361111,nan,26713
CJB,11.02666667,77.04166667,BLR,13.20694444,77.70416667,nan,12484
DED,30.18972222,78.18027778,DEL,28.56861111,77.11222222,nan,24627
DEL,28.56861111,77.11222222,BLR,13.20694444,77.70416667,nan,97663
DEL,28.56861111,77.11222222,PNQ,18.58222222,73.91972222,nan,60643
DEL,28.56861111,77.11222222,CCU,22.65472222,88.44666667,nan,69614
DEL,28.56861111,77.11222222,HYD,17.24,78.43,nan,64891
DEL,28.56861111,77.11222222,AMD,23.07722222,72.63472222,nan,49222
DEL,28.56861111,77.11222222,VNS,25.45222222,82.85944444,nan,30472
DEL,28.56861111,77.11222222,COK,10.155,76.391,nan,18935
DEL,28.56861111,77.11222222,BOM,19.08861111,72.86805556,nan,161401
DEL,28.56861111,77.11222222,MAA,12.98222222,80.16361111,nan,56865
DEL,28.56861111,77.11222222,IXC,30.67472222,76.79055556,nan,16001
DEL,28.56861111,77.11222222,JAI,26.82416667,75.81222222,nan,33323
DEL,28.56861111,77.11222222,IXZ,11.64111111,92.72972222,nan,5971
DEL,28.56861111,77.11222222,GOI,15.38083333,73.83138889,nan,37024
DEL,28.56861111,77.11222222,STV,21.11765833,72.74525833,nan,9954
DEL,28.56861111,77.11222222,IXJ,32.68916667,74.8375,nan,19628
DEL,28.56861111,77.11222222,JLR,23.18472222,80.05875,nan,2930
DEL,28.56861111,77.11222222,SXR,33.98713889,74.77425,nan,33798
DEL,28.56861111,77.11222222,GAU,26.10611111,91.58583333,nan,38902
DEL,28.56861111,77.11222222,DHM,32.218,76.32,nan,3352
DEL,28.56861111,77.11222222,AIP,31.43305556,75.76055556,RCS,812
DEL,28.56861111,77.11222222,DED,30.18972222,78.18027778,nan,24767
DEL,28.56861111,77.11222222,IXB,26.68111111,88.32861111,nan,23099
DEL,28.56861111,77.11222222,GOP,26.73970032,83.4496994,nan,3388
DEL,28.56861111,77.11222222,JSA,26.88027778,70.855,nan,812
DEL,28.56861111,77.11222222,ATQ,31.70777778,74.79916667,nan,25776
DEL,28.56861111,77.11222222,KNU,26.44140053,80.36489868,RCS,812
DEL,28.56861111,77.11222222,PAT,25.59361111,85.09194444,nan,41342
DHM,32.218,76.32,DEL,28.56861111,77.11222222,nan,3932
DIB,27.48385278,95.016944,GAU,26.10611111,91.58583333,nan,1967
GOI,15.38083333,73.83138889,BOM,19.08861111,72.86805556,nan,47129
GOI,15.38083333,73.83138889,AMD,23.07722222,72.63472222,nan,13891
GOI,15.38083333,73.83138889,MAA,12.98222222,80.16361111,nan,3934
GOI,15.38083333,73.83138889,HYD,17.24,78.43,nan,16080
GOI,15.38083333,73.83138889,DEL,28.56861111,77.11222222,nan,36015
GOI,15.38083333,73.83138889,PNQ,18.58222222,73.91972222,nan,3036
GOI,15.38083333,73.83138889,STV,21.11765833,72.74525833,nan,812
GOP,26.73970032,83.4496994,DEL,28.56861111,77.11222222,nan,3388
GAU,26.10611111,91.58583333,IXS,24.91290092,92.97869873,nan,3220
GAU,26.10611111,91.58583333,DIB,27.48385278,95.016944,nan,1967
GAU,26.10611111,91.58583333,JAI,26.82416667,75.81222222,nan,2408
GAU,26.10611111,91.58583333,MAA,12.98222222,80.16361111,nan,6519
GAU,26.10611111,91.58583333,HYD,17.24,78.43,nan,2654
